test;size;step;type;bubble;binaryInsert;radix;selection;heap;counting;merge;quick
test_50_0;50;50;0;10800;5300;12000;5700;5500;1200;6200;3600
test_100_0;100;50;0;71600;24500;20300;31500;23000;4100;20300;12500
test_150_0;150;50;0;194800;46900;28900;64000;36600;5900;30800;19400
test_200_0;200;50;0;277900;69400;33800;117000;49700;7800;39800;24400
test_250_0;250;50;0;448000;97500;40200;163700;63900;9500;47600;29900
test_300_0;300;50;0;634900;140400;37100;231800;81000;11300;59100;37000
test_100_0;100;1000;0;69500;22600;19900;30700;21700;3900;18400;11500
test_1100_0;1100;1000;0;9345900;1524200;139500;2963200;344000;41800;230800;152300
test_2100_0;2100;1000;0;35599800;4507800;299000;9810700;630500;47000;381400;267500
test_3100_0;3100;1000;0;54901400;6274700;276800;12905900;582500;62800;369200;259900
test_4100_0;4100;1000;0;64904800;8727500;300200;18713700;675300;71300;418500;301200
test_50_1;50;50;1;15000;5200;8300;5700;5500;23000;4400;3400
test_100_1;100;50;1;96200;33000;27000;41200;30600;60600;25800;19400
test_150_1;150;50;1;211600;61300;33200;83100;48200;64200;37800;29600
test_200_1;200;50;1;383900;97300;40300;139400;67000;65700;50600;40600
test_250_1;250;50;1;591300;146700;46100;211300;88900;65300;65800;50600
test_300_1;300;50;1;877000;195800;46600;299100;110000;68400;78200;68300
test_100_1;100;1000;1;97500;31100;22700;41000;29800;59100;23700;18100
test_1100_1;1100;1000;1;12283900;2255900;171000;4037600;531200;109500;358300;279400
test_2100_1;2100;1000;1;32191100;3612400;148300;6171100;506600;72800;316600;263700
test_3100_1;3100;1000;1;43614900;6541900;180400;10997200;645800;77600;396300;329000
test_4100_1;4100;1000;1;68001600;10929700;230000;18888200;889400;95700;532000;446400
test_50_2;50;50;2;3600;1500;7400;3600;5200;2100;3500;2100
test_100_2;100;50;2;13700;3100;10500;13000;11600;3400;6400;4000
test_150_2;150;50;2;30700;5400;11200;28500;18400;4200;10400;6800
test_200_2;200;50;2;54200;7300;15900;49500;25200;5200;13400;9600
test_250_2;250;50;2;88400;10700;15100;73800;33300;6000;16700;9000
test_300_2;300;50;2;126900;13500;17100;103000;41600;6900;20600;11100
test_100_2;100;1000;2;12800;2900;10600;12300;11500;2300;6200;3100
test_1100_2;1100;1000;2;1503000;44500;65700;1357400;180200;39800;81900;45000
test_2100_2;2100;1000;2;13780900;293000;305700;12973700;1033700;154700;437200;203000
test_3100_2;3100;1000;2;13805400;209100;204000;12347900;674500;85300;278700;102700
test_4100_2;4100;1000;2;22877300;236100;241500;19077000;794800;94200;320900;142800
test_50_3;50;50;3;11600;4600;7400;4200;4300;1200;3400;1200
test_100_3;100;50;3;46000;15100;9200;13800;10000;2400;5900;2400
test_150_3;150;50;3;101600;31900;13300;29200;16400;3500;9600;4200
test_200_3;200;50;3;180400;54900;16000;50500;23000;4700;12100;5000
test_250_3;250;50;3;283500;83600;15200;77500;29700;5800;15500;6500
test_300_3;300;50;3;405500;119000;17000;110300;36900;6900;18900;7800
test_100_3;100;1000;3;45400;14900;10600;13800;9900;2400;5900;2400
test_1100_3;1100;1000;3;14038900;4035800;188600;3718200;442700;66200;210600;82000
test_2100_3;2100;1000;3;35948200;5993300;166100;5790000;431100;39800;178000;66900
test_3100_3;3100;1000;3;44233700;11836300;175000;11203600;548400;74500;265400;95900
test_4100_3;4100;1000;3;139428100;30927900;328300;26306900;947400;118500;407300;149700
FINISH;0;0;0;0;0;0;0;0;0;0;0
test_50_0;50;50;0;11300;5100;9500;5700;6200;1000;6900;3800
test_100_0;100;50;0;101900;34500;29600;45200;32600;5700;29800;17800
test_150_0;150;50;0;232100;65100;34600;91700;50700;8300;42500;26700
test_200_0;200;50;0;397400;97500;41300;155100;71800;13200;76300;37700
test_250_0;250;50;0;633200;139800;47400;235600;91300;13600;68600;43300
test_300_0;300;50;0;925600;193200;64400;335600;115500;16500;83200;52400
test_100_0;100;1000;0;42200;14000;12000;18300;13600;1800;12100;7300
test_1100_0;1100;1000;0;5671800;860200;99300;1729900;217600;17100;137900;93400
test_2100_0;2100;1000;0;20409200;2735700;137600;5786600;455400;34900;295100;180500
test_3100_0;3100;1000;0;49754300;13550500;474800;27098000;1148900;125000;733000;512700
test_4100_0;4100;1000;0;93949800;10090500;258000;20404400;702600;75900;436500;313900
test_50_1;50;50;1;10000;4400;7600;5200;5400;23900;4500;3500
test_100_1;100;50;1;39400;13100;10900;16800;12400;25100;9200;7600
test_150_1;150;50;1;87400;24900;13700;33900;19500;25300;15000;12000
test_200_1;200;50;1;155400;39600;16400;56700;27100;26000;21400;16400
test_250_1;250;50;1;256000;58300;18400;86100;36100;27200;24900;20300
test_300_1;300;50;1;344700;77900;17200;128100;44700;27800;30800;26300
test_100_1;100;1000;1;42900;12500;9300;16500;12100;25000;8900;6900
test_1100_1;1100;1000;1;4830500;862900;59300;1415700;198700;42200;126400;105600
test_2100_1;2100;1000;1;17432700;2930600;119700;5098700;416500;59000;259700;213400
test_3100_1;3100;1000;1;95328600;12590400;371000;30619800;2097300;245600;1292200;1048000
test_4100_1;4100;1000;1;100269300;12508000;258200;20249600;913300;98700;553600;457000
test_50_2;50;50;2;3600;1500;7600;3600;5300;2100;3800;2200
test_100_2;100;50;2;13900;3000;9500;13200;11700;3400;6500;4100
test_150_2;150;50;2;31200;5500;11400;28700;18700;4200;10400;6900
test_200_2;200;50;2;54800;7600;16200;49800;25600;5100;13300;9500
test_250_2;250;50;2;89000;10700;15300;74000;33600;5900;17000;9100
test_300_2;300;50;2;127700;14100;21000;103000;41700;6900;20500;11100
test_100_2;100;1000;2;12800;2600;10700;12200;11600;2300;6300;3400
test_1100_2;1100;1000;2;1501700;44500;64400;1379700;180600;39400;78300;45300
test_2100_2;2100;1000;2;5482000;96000;117400;4895700;375100;55900;156100;67000
test_3100_2;3100;1000;2;11870900;158400;174100;10679300;585000;74600;241700;89100
test_4100_2;4100;1000;2;20802700;217500;229400;18623700;796200;94300;320200;141800
test_50_3;50;50;3;11700;4500;7400;4100;4300;1200;3500;1300
test_100_3;100;50;3;45400;15000;9400;13700;9900;2300;5900;2400
test_150_3;150;50;3;101600;31700;11100;29300;16500;3400;9400;4400
test_200_3;200;50;3;180300;54800;13200;50600;23000;4600;12400;4900
test_250_3;250;50;3;283000;83800;15200;77500;29600;5800;15600;6400
test_300_3;300;50;3;405200;118900;21500;112000;37000;6900;18800;7700
test_100_3;100;1000;3;45300;14900;10400;13700;10000;2400;5800;2500
test_1100_3;1100;1000;3;5546400;1516500;62000;1429200;168800;25400;77000;30100
test_2100_3;2100;1000;3;19970000;5508700;118200;5177900;352100;48300;156000;57400
test_3100_3;3100;1000;3;58757800;11679800;224900;11295100;549900;72100;245400;97000
test_4100_3;4100;1000;3;81345200;20679700;228200;19630800;748400;93600;320400;118200
FINISH;0;0;0;0;0;0;0;0;0;0;0
test_50_0;50;50;0;9000;4100;7300;4600;4300;1000;4900;3000
test_100_0;100;50;0;32400;10800;9500;14600;10300;1900;8800;5600
test_150_0;150;50;0;75900;20800;11400;29600;16500;2700;13500;8600
test_200_0;200;50;0;128300;31600;13400;50300;23200;3600;17500;11500
test_250_0;250;50;0;205800;45300;15200;78700;29900;4300;22000;13900
test_300_0;300;50;0;296600;62500;21000;111200;37500;5400;26700;16900
test_100_0;100;1000;0;32800;9900;9200;14400;10100;1900;8400;5300
test_1100_0;1100;1000;0;4368100;706800;65900;1365100;158300;19200;106200;70600
test_2100_0;2100;1000;0;42366200;6318800;289100;10976400;643500;73600;432000;292400
test_3100_0;3100;1000;0;83754300;8678200;352200;16556000;736900;79200;463500;326800
test_4100_0;4100;1000;0;77282500;8882500;227800;18645800;673600;70500;421500;300500
test_50_1;50;50;1;24700;11300;18500;12700;14100;56300;12800;8600
test_100_1;100;50;1;106300;31700;23300;41000;30000;59800;23500;19400
test_150_1;150;50;1;213100;62400;33300;83600;48700;61800;39700;30300
test_200_1;200;50;1;384500;98800;40400;139200;77100;64100;50000;40300
test_250_1;250;50;1;588700;143900;47200;211200;89200;67400;63200;49500
test_300_1;300;50;1;854600;194500;42600;303500;119500;69200;76000;64600
test_100_1;100;1000;1;97600;30100;23200;41000;29900;63500;23200;17400
test_1100_1;1100;1000;1;12279000;2308300;171300;3867700;543500;113800;352300;291100
test_2100_1;2100;1000;1;41046300;5866900;243800;9385900;696500;97100;426700;361000
test_3100_1;3100;1000;1;57296000;7629500;206200;12657100;731500;87200;450700;368400
test_4100_1;4100;1000;1;72505100;10922500;231300;18877900;887400;96300;532600;446700
test_50_2;50;50;2;3600;1600;7500;3600;5200;2100;3500;2200
test_100_2;100;50;2;13600;3000;9100;13100;11500;3300;6400;3900
test_150_2;150;50;2;30600;5500;13200;28300;18600;4300;10200;6800
test_200_2;200;50;2;56100;7400;13300;49600;25200;5100;13400;9500
test_250_2;250;50;2;88500;10600;18900;73800;33400;5900;16700;9000
test_300_2;300;50;2;126900;13300;21300;102900;41500;6800;20500;11000
test_100_2;100;1000;2;32300;7000;23800;34400;30500;5800;18100;10300
test_1100_2;1100;1000;2;3802200;129300;154800;3432400;458400;98000;200600;118300
test_2100_2;2100;1000;2;14197500;259400;318300;13657400;986300;150200;412600;179600
test_3100_2;3100;1000;2;26495600;299200;334200;20241300;960700;120200;400600;147300
test_4100_2;4100;1000;2;63423300;609100;561200;41575500;1590600;183100;623400;279700
test_50_3;50;50;3;22500;8400;14000;7900;8100;2300;7100;2900
test_100_3;100;50;3;151800;50000;31400;46000;36000;5800;26100;11600
test_150_3;150;50;3;338200;105600;46900;97800;55000;11600;34000;15000
test_200_3;200;50;3;599100;182600;43300;166900;75800;15000;43500;19900
test_250_3;250;50;3;1253400;285800;62700;255900;98300;19200;52700;22200
test_300_3;300;50;3;1364300;392700;56200;378200;121800;24800;61800;25100
test_100_3;100;1000;3;85800;27300;19400;25200;18400;4300;12200;5200
test_1100_3;1100;1000;3;17579800;3754800;144000;3454300;404700;60700;185700;72600
test_2100_3;2100;1000;3;33792900;8380400;167200;7507900;500700;68800;223600;84300
test_3100_3;3100;1000;3;54025800;12859200;181400;11715700;555800;73300;243500;97100
test_4100_3;4100;1000;3;155885100;26839700;281400;22883000;829100;104600;354400;130400
FINISH;0;0;0;0;0;0;0;0;0;0;0
test_50_0;50;50;0;10100;4700;8900;5100;5200;900;6000;3400
test_100_0;100;50;0;37600;11900;11400;15900;12000;1500;10200;6500
test_150_0;150;50;0;86900;22700;14100;32700;19400;2200;15900;10000
test_200_0;200;50;0;147600;37900;17400;55500;27200;2900;20200;13100
test_250_0;250;50;0;230800;49000;21500;84100;35000;3500;24900;16100
test_300_0;300;50;0;357100;67700;22400;119400;44300;4300;30400;19300
test_100_0;100;1000;0;36400;10800;11400;15700;11900;1500;9600;5900
test_1100_0;1100;1000;0;4846700;735600;82700;1520100;186300;14700;116200;79600
test_2100_0;2100;1000;0;17237000;2309600;150200;5052800;363900;26100;212200;152800
test_3100_0;3100;1000;0;35516500;5150100;173800;10740400;500200;54500;313800;221500
test_4100_0;4100;1000;0;62467600;8704400;265700;18774800;675100;71500;425000;304400
test_50_1;50;50;1;9600;4300;7400;4900;5200;22900;4300;3300
test_100_1;100;50;1;37900;12600;10600;16400;14100;23800;8700;7500
test_150_1;150;50;1;85000;24100;13400;33100;18900;24700;14200;11800
test_200_1;200;50;1;151900;38600;16100;55500;26600;25600;18700;16300
test_250_1;250;50;1;234100;56900;18700;84400;35200;26500;24100;19700
test_300_1;300;50;1;341800;76800;20900;118300;43600;27200;30100;25900
test_100_1;100;1000;1;38400;11800;9300;16300;11800;23700;8900;6900
test_1100_1;1100;1000;1;4735400;865000;59400;1423300;198700;41800;126200;105500
test_2100_1;2100;1000;1;17447100;2924000;121800;5049500;416000;60100;255200;215200
test_3100_1;3100;1000;1;38898300;6296000;172600;10850800;647200;77200;396100;328000
test_4100_1;4100;1000;1;68131900;10924000;265600;18863700;886300;95300;534400;446900
test_50_2;50;50;2;3500;1500;7400;3600;5200;2100;3500;2200
test_100_2;100;50;2;13800;3100;9300;13000;11400;3400;6300;4000
test_150_2;150;50;2;30600;5200;11300;28300;18500;4300;10300;6800
test_200_2;200;50;2;135200;21400;39100;124500;65300;12900;37400;27900
test_250_2;250;50;2;225700;27600;42700;183400;84200;14800;43300;23500
test_300_2;300;50;2;126800;14400;19600;103000;41700;7000;20400;10800
test_100_2;100;1000;2;12900;2800;9400;12300;11600;2300;6300;3300
test_1100_2;1100;1000;2;1535900;44600;58500;1356700;180400;39400;78400;45200
test_2100_2;2100;1000;2;5464900;96900;147600;4909500;375000;56200;156200;67200
test_3100_2;3100;1000;2;11863800;178600;172400;10656000;614700;73600;241700;89300
test_4100_2;4100;1000;2;20764000;219500;229400;18568000;794700;93500;319800;141900
test_50_3;50;50;3;11700;4600;7400;4200;4200;1200;3400;1200
test_100_3;100;50;3;45900;15000;10400;13800;9900;2300;6000;2300
test_150_3;150;50;3;101500;31700;13200;29200;16200;3500;9400;4300
test_200_3;200;50;3;179900;54600;15700;50400;24800;4600;12300;4900
test_250_3;250;50;3;288600;83800;15000;77500;29500;5600;15500;6400
test_300_3;300;50;3;405000;120200;20500;110400;37000;7000;19100;7700
test_100_3;100;1000;3;45400;15000;9500;13700;9900;2300;5900;2500
test_1100_3;1100;1000;3;5551900;1514700;58200;1425100;168500;25100;77000;29800
test_2100_3;2100;1000;3;19912900;5492200;112800;5190100;351200;48300;156200;57800
test_3100_3;3100;1000;3;43719400;11949500;173700;11343000;560600;71300;240500;95000
test_4100_3;4100;1000;3;86617500;31906800;229300;19655100;747600;94200;321000;117600
FINISH;0;0;0;0;0;0;0;0;0;0;0
test_50_0;50;50;0;9200;3900;7800;4500;4700;800;5200;2900
test_100_0;100;50;0;34300;10800;10600;14600;10700;1400;9200;6100
test_150_0;150;50;0;79300;21000;13300;30200;17700;2100;14000;9100
test_200_0;200;50;0;136200;31700;15200;53100;25000;2600;18900;11900
test_250_0;250;50;0;214000;45500;18000;78000;32200;3300;23100;15000
test_300_0;300;50;0;310000;62200;23600;111700;40700;3900;27500;17700
test_100_0;100;1000;0;82500;28500;24000;36400;26600;4600;25100;14400
test_1100_0;1100;1000;0;11104000;1812000;167100;3534900;432900;49900;281600;185000
test_2100_0;2100;1000;0;21094700;2608600;132700;5436100;353700;39600;229500;156600
test_3100_0;3100;1000;0;46436900;5301400;177800;11123600;512900;55800;329200;226400
test_4100_0;4100;1000;0;62382700;8797700;232700;18707500;680100;70600;416300;301200
test_50_1;50;50;1;9600;4300;7100;4900;5200;22700;4400;3300
test_100_1;100;50;1;38500;12600;9200;16400;11900;24000;8600;7400
test_150_1;150;50;1;84400;24200;13300;33100;19000;24600;14400;11400
test_200_1;200;50;1;152900;38700;15900;56000;26700;25700;18900;16000
test_250_1;250;50;1;240600;57200;18400;84500;35100;26300;24500;19300
test_300_1;300;50;1;338200;76700;18000;120300;43400;27400;30300;25600
test_100_1;100;1000;1;38800;11700;10500;16400;11800;24200;8800;6800
test_1100_1;1100;1000;1;4730200;863000;56600;1425300;198200;44500;126900;108600
test_2100_1;2100;1000;1;46439700;6627300;260600;11053200;920900;128700;584500;481600
test_3100_1;3100;1000;1;61538800;8252300;226700;13491400;780100;92100;478700;394800
test_4100_1;4100;1000;1;72293100;10952500;233600;18986300;918200;96200;532600;445900
test_50_2;50;50;2;3600;1400;7300;3600;5200;2200;3700;2200
test_100_2;100;50;2;14000;3200;9500;13500;11700;3500;6600;4400
test_150_2;150;50;2;85200;16400;33100;78500;52500;11700;34900;21300
test_200_2;200;50;2;136100;21300;33500;125400;64700;12800;37200;27100
test_250_2;250;50;2;221300;27800;46500;183700;83200;15100;43000;22900
test_300_2;300;50;2;320900;33800;42200;257200;104500;17300;53800;28400
test_100_2;100;1000;2;32000;6900;23000;30700;29100;6000;15500;8700
test_1100_2;1100;1000;2;3784600;110900;151000;2693100;185100;40500;80600;47200
test_2100_2;2100;1000;2;5646200;100800;122200;5105500;387800;59000;161500;69700
test_3100_2;3100;1000;2;12174400;161000;178500;10706200;584800;73100;242800;89300
test_4100_2;4100;1000;2;53988000;599800;624900;28894800;1192600;139000;502300;212400
test_50_3;50;50;3;17200;6700;10800;6400;6400;1700;5100;1900
test_100_3;100;50;3;67200;22100;13800;20300;14800;3500;9000;3600
test_150_3;150;50;3;150300;46400;19300;42900;24100;5200;14400;6200
test_200_3;200;50;3;594200;189700;53300;166800;76400;15300;44000;19200
test_250_3;250;50;3;930100;278100;49100;255700;97800;19000;51600;21800
test_300_3;300;50;3;1361000;396700;71300;367700;131400;22900;66400;27400
test_100_3;100;1000;3;151100;54100;34400;45800;33400;7800;19800;8500
test_1100_3;1100;1000;3;16979600;4385600;156600;3565400;427600;64700;195600;76700
test_2100_3;2100;1000;3;40814600;9386900;191400;8373500;587500;67500;246700;91500
test_3100_3;3100;1000;3;58099300;27406800;490900;30552500;1457300;167100;579200;228500
test_4100_3;4100;1000;3;163021200;33513400;336400;27161800;970800;121700;412200;151000
FINISH;0;0;0;0;0;0;0;0;0;0;0
